backend,recall_at_1,recall_at_5,mrr_at_10,ndcg_at_10,evaluated_count,p50_latency_ms,p95_latency_ms
local_text,0.3125,0.8125,0.5520833333333333,0.6197817671875128,16,,
visual_stub,0.3125,0.625,0.44791666666666663,0.49329932879464833,16,0.4501640214584768,0.5397420027293265
local_image,0.3125,0.625,0.44791666666666663,0.49329932879464833,16,0.47675700625404716,0.5436630162876099
