backend,evaluated_count,recall_at_1,recall_at_5,mrr_at_10,ndcg_at_10,p50_latency_ms,p95_latency_ms
local_text,50,0.22,0.48,0.33465079365079364,0.41087686299617254,30.88660000139498,44.71159999957308
local_image,50,0.2,0.52,0.3428809523809524,0.4266148385183381,21.285700000589713,32.73600000102306
